Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
43,5,2,101,2,Some Random Commen with Id 43
44,5,2,57,5,Some Random Commen with Id 44
45,6,7,143,6,Some Random Commen with Id 45
46,6,7,88,5,Some Random Commen with Id 46
47,6,7,185,1,Some Random Commen with Id 47
48,6,7,5,4,Some Random Commen with Id 48
49,7,4,189,5,Some Random Commen with Id 49
50,7,4,148,9,Some Random Commen with Id 50
51,7,4,84,8,Some Random Commen with Id 51
52,9,9,90,5,Some Random Commen with Id 52
53,9,9,103,5,Some Random Commen with Id 53
54,10,0,198,5,Some Random Commen with Id 54
55,10,0,186,6,Some Random Commen with Id 55
56,10,0,3,8,Some Random Commen with Id 56
57,10,0,28,5,Some Random Commen with Id 57
58,10,0,81,6,Some Random Commen with Id 58
59,10,0,184,6,Some Random Commen with Id 59
60,10,0,27,3,Some Random Commen with Id 60
61,10,0,42,5,Some Random Commen with Id 61
62,10,0,154,0,Some Random Commen with Id 62
63,11,8,104,4,Some Random Commen with Id 63
64,11,8,80,8,Some Random Commen with Id 64
65,11,8,65,5,Some Random Commen with Id 65
66,11,8,80,6,Some Random Commen with Id 66
67,11,8,9,0,Some Random Commen with Id 67
68,11,8,120,1,Some Random Commen with Id 68
69,11,8,192,6,Some Random Commen with Id 69
70,12,9,74,8,Some Random Commen with Id 70
71,13,9,108,8,Some Random Commen with Id 71
72,13,9,62,0,Some Random Commen with Id 72
73,13,9,41,9,Some Random Commen with Id 73
74,13,9,168,8,Some Random Commen with Id 74
75,13,9,178,4,Some Random Commen with Id 75
76,14,2,187,5,Some Random Commen with Id 76
77,14,2,10,6,Some Random Commen with Id 77
78,14,2,178,1,Some Random Commen with Id 78
79,14,2,64,2,Some Random Commen with Id 79
80,14,2,139,9,Some Random Commen with Id 80
81,15,3,87,9,Some Random Commen with Id 81
82,15,3,139,9,Some Random Commen with Id 82
83,15,3,99,5,Some Random Commen with Id 83
84,15,3,193,9,Some Random Commen with Id 84
85,15,3,85,3,Some Random Commen with Id 85
86,15,3,153,4,Some Random Commen with Id 86
87,15,3,105,6,Some Random Commen with Id 87
88,15,3,2,9,Some Random Commen with Id 88
89,16,1,180,9,Some Random Commen with Id 89
90,16,1,27,8,Some Random Commen with Id 90
91,16,1,65,3,Some Random Commen with Id 91
92,16,1,20,9,Some Random Commen with Id 92
93,16,1,69,0,Some Random Commen with Id 93
94,16,1,2,9,Some Random Commen with Id 94
95,16,1,93,1,Some Random Commen with Id 95
96,16,1,48,5,Some Random Commen with Id 96
97,17,6,130,3,Some Random Commen with Id 97
98,17,6,31,9,Some Random Commen with Id 98
99,17,6,192,4,Some Random Commen with Id 99
100,17,6,138,6,Some Random Commen with Id 100
101,18,4,140,8,Some Random Commen with Id 101
102,18,4,76,4,Some Random Commen with Id 102
103,18,4,38,7,Some Random Commen with Id 103
104,18,4,106,1,Some Random Commen with Id 104
105,18,4,81,2,Some Random Commen with Id 105
106,18,4,42,6,Some Random Commen with Id 106
107,18,4,76,4,Some Random Commen with Id 107
108,18,4,170,8,Some Random Commen with Id 108
109,19,7,78,1,Some Random Commen with Id 109
110,19,7,87,8,Some Random Commen with Id 110
111,19,7,107,0,Some Random Commen with Id 111
112,19,7,9,0,Some Random Commen with Id 112
113,19,7,146,0,Some Random Commen with Id 113
114,19,7,15,4,Some Random Commen with Id 114
115,19,7,186,1,Some Random Commen with Id 115
116,19,7,194,3,Some Random Commen with Id 116
117,20,4,27,7,Some Random Commen with Id 117
118,20,4,13,4,Some Random Commen with Id 118
119,20,4,14,9,Some Random Commen with Id 119
120,20,4,129,4,Some Random Commen with Id 120
121,20,4,137,6,Some Random Commen with Id 121
122,21,7,10,3,Some Random Commen with Id 122
123,22,9,16,0,Some Random Commen with Id 123
124,22,9,194,0,Some Random Commen with Id 124
125,22,9,82,5,Some Random Commen with Id 125
126,22,9,86,1,Some Random Commen with Id 126
127,22,9,52,8,Some Random Commen with Id 127
128,22,9,162,7,Some Random Commen with Id 128
129,22,9,49,9,Some Random Commen with Id 129
130,22,9,27,6,Some Random Commen with Id 130
131,22,9,50,3,Some Random Commen with Id 131
132,23,8,91,9,Some Random Commen with Id 132
133,23,8,83,3,Some Random Commen with Id 133
134,23,8,23,5,Some Random Commen with Id 134
135,24,5,154,8,Some Random Commen with Id 135
136,24,5,121,2,Some Random Commen with Id 136
137,25,6,122,1,Some Random Commen with Id 137
138,25,6,54,7,Some Random Commen with Id 138
139,25,6,64,8,Some Random Commen with Id 139
140,25,6,196,4,Some Random Commen with Id 140
141,25,6,62,5,Some Random Commen with Id 141
142,25,6,11,0,Some Random Commen with Id 142
143,25,6,71,3,Some Random Commen with Id 143
144,25,6,12,4,Some Random Commen with Id 144
145,25,6,199,5,Some Random Commen with Id 145
146,26,4,190,6,Some Random Commen with Id 146
147,27,0,47,5,Some Random Commen with Id 147
148,27,0,176,9,Some Random Commen with Id 148
149,28,5,95,7,Some Random Commen with Id 149
150,28,5,176,8,Some Random Commen with Id 150
151,28,5,121,8,Some Random Commen with Id 151
152,30,6,88,8,Some Random Commen with Id 152
153,30,6,117,5,Some Random Commen with Id 153
154,30,6,111,5,Some Random Commen with Id 154
155,30,6,144,0,Some Random Commen with Id 155
156,30,6,94,5,Some Random Commen with Id 156
157,30,6,122,0,Some Random Commen with Id 157
158,30,6,69,6,Some Random Commen with Id 158
159,31,3,10,5,Some Random Commen with Id 159
160,32,0,178,5,Some Random Commen with Id 160
161,33,8,40,6,Some Random Commen with Id 161
162,33,8,15,1,Some Random Commen with Id 162
163,33,8,0,3,Some Random Commen with Id 163
164,34,0,45,6,Some Random Commen with Id 164
165,34,0,91,3,Some Random Commen with Id 165
166,34,0,94,9,Some Random Commen with Id 166
167,35,6,96,6,Some Random Commen with Id 167
168,36,9,173,8,Some Random Commen with Id 168
169,36,9,130,5,Some Random Commen with Id 169
170,36,9,66,1,Some Random Commen with Id 170
171,37,9,166,8,Some Random Commen with Id 171
172,37,9,135,9,Some Random Commen with Id 172
173,38,6,92,0,Some Random Commen with Id 173
174,38,6,13,0,Some Random Commen with Id 174
175,38,6,51,4,Some Random Commen with Id 175
176,38,6,65,9,Some Random Commen with Id 176
177,38,6,2,8,Some Random Commen with Id 177
178,38,6,153,4,Some Random Commen with Id 178
179,38,6,8,3,Some Random Commen with Id 179
